# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0,0,0
0.0001,1,0.0154663
0.0002,0.999507,0.0459128
0.0003,0.998027,0.0753871
0.0004,0.995562,0.103889
0.0005,0.992115,0.131417
0.0006,0.987688,0.157972
0.0007,0.982287,0.183554
0.0008,0.975917,0.208162
0.0009,0.968583,0.231797
0.001,0.960294,0.25446
0.0011,0.951057,0.27615
0.0012,0.940881,0.29687
0.0013,0.929776,0.316619
0.0014,0.917755,0.335399
0.0015,0.904827,0.353213
0.0016,0.891007,0.370062
0.0017,0.876307,0.385949
0.0018,0.860742,0.400876
0.0019,0.844328,0.414847
0.002,0.827081,0.427866
0.0021,0.809017,0.439935
0.0022,0.790155,0.45106
0.0023,0.770513,0.461245
0.0024,0.750111,0.470496
0.0025,0.728969,0.478818
0.0026,0.707107,0.486218
0.0027,0.684547,0.492702
0.0028,0.661312,0.498277
0.0029,0.637424,0.50295
0.003,0.612907,0.506731
0.0031,0.587785,0.509626
0.0032,0.562083,0.511647
0.0033,0.535827,0.512801
0.0034,0.509041,0.513099
0.0035,0.481754,0.512551
0.0036,0.453991,0.511169
0.0037,0.425779,0.508964
0.0038,0.397148,0.505948
0.0039,0.368125,0.502134
0.004,0.338738,0.497534
0.0041,0.309017,0.492162
0.0042,0.278991,0.486033
0.0043,0.24869,0.47916
0.0044,0.218143,0.471558
0.0045,0.187381,0.463244
0.0046,0.156434,0.454232
0.0047,0.125333,0.444539
0.0048,0.0941084,0.434183
0.0049,0.0627905,0.423179
0.005,0.0314107,0.411546
0.0051,-4.37114e-08,0.399301
0.0052,-0.0314108,0.386464
0.0053,-0.0627905,0.373053
0.0054,-0.0941083,0.359087
0.0055,-0.125333,0.344585
0.0056,-0.156435,0.329568
0.0057,-0.187381,0.314057
0.0058,-0.218143,0.29807
0.0059,-0.24869,0.28163
0.006,-0.278991,0.264757
0.0061,-0.309017,0.247473
0.0062,-0.338738,0.2298
0.0063,-0.368125,0.211759
0.0064,-0.397148,0.193373
0.0065,-0.425779,0.174663
0.0066,-0.45399,0.155654
0.0067,-0.481754,0.136367
0.0068,-0.509041,0.116825
0.0069,-0.535827,0.0970506
0.007,-0.562084,0.077068
0.0071,-0.587785,0.0568999
0.0072,-0.612907,0.0365696
0.0073,-0.637424,0.0161004
0.0074,-0.661312,-0.00448426
0.0075,-0.684547,-0.025161
0.0076,-0.707107,-0.0459064
0.0077,-0.728969,-0.0666972
0.0078,-0.750111,-0.0875099
0.0079,-0.770513,-0.108321
0.008,-0.790155,-0.129109
0.0081,-0.809017,-0.149848
0.0082,-0.827081,-0.170517
0.0083,-0.844328,-0.191093
0.0084,-0.860742,-0.211553
0.0085,-0.876307,-0.231875
