# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0,0,0
0.0001,0.867118,0.00271561
0.0002,0.854779,0.00809117
0.0003,0.975505,0.0137725
0.0004,0.809713,0.0192771
0.0005,0.872166,0.0244236
0.0006,1.21067,0.0307936
0.0007,0.990786,0.0374952
0.0008,1.06952,0.0437127
0.0009,0.647234,0.0488154
0.001,1.05486,0.0538402
0.0011,1.15899,0.0604362
0.0012,1.21976,0.0675074
0.0013,1.0941,0.074331
0.0014,0.896601,0.0800998
0.0015,0.737108,0.0847145
0.0016,1.23874,0.0903718
0.0017,1.13914,0.0972527
0.0018,0.868708,0.102932
0.0019,1.34012,0.109204
0.002,1.05727,0.116029
0.0021,1.0244,0.121821
0.0022,1.01011,0.12743
0.0023,0.728149,0.132075
0.0024,0.897243,0.136338
0.0025,1.06476,0.141629
0.0026,0.789454,0.146549
0.0027,0.789166,0.150575
0.0028,0.865675,0.154814
0.0029,0.913547,0.159417
0.003,0.967447,0.164309
0.0031,1.16727,0.169965
0.0032,1.14956,0.176156
0.0033,1.12263,0.182169
0.0034,1.14187,0.18812
0.0035,1.01352,0.193692
0.0036,1.21871,0.199469
0.0037,1.02523,0.205247
0.0038,0.880923,0.209932
0.0039,1.08692,0.214779
0.004,1.51214,0.221574
0.0041,1.09107,0.228339
0.0042,0.977901,0.233388
0.0043,0.973292,0.238037
0.0044,0.977024,0.242654
0.0045,1.10038,0.24764
0.0046,1.3584,0.253789
0.0047,0.854858,0.259131
0.0048,1.09174,0.263604
0.0049,0.834061,0.267984
0.005,1.07462,0.272283
0.0051,0.982309,0.277019
0.0052,0.964155,0.28138
0.0053,1.0489,0.285922
0.0054,0.947956,0.290385
0.0055,1.39577,0.295906
0.0056,0.803754,0.300941
0.0057,1.00167,0.30471
0.0058,0.745398,0.308273
0.0059,0.880414,0.311434
0.006,1.28479,0.316264
0.0061,0.86844,0.321027
0.0062,0.683546,0.323876
0.0063,1.12224,0.327503
0.0064,1.02206,0.332167
0.0065,0.964702,0.336309
0.0066,1.12552,0.340748
0.0067,1.04402,0.345408
0.0068,0.788471,0.348984
0.0069,0.75606,0.351635
0.007,0.895367,0.354605
0.0071,1.01693,0.358372
0.0072,1.16839,0.362972
0.0073,0.91146,0.367212
0.0074,0.876736,0.370512
0.0075,1.29922,0.375006
0.0076,0.784083,0.379181
0.0077,1.0188,0.382452
0.0078,1.35377,0.387487
0.0079,0.916899,0.392171
0.008,1.16541,0.396236
0.0081,0.69327,0.399575
0.0082,1.12133,0.402756
0.0083,0.672847,0.405852
0.0084,0.90882,0.408263
0.0085,1.12146,0.412064
0.0086,0.801989,0.415507
0.0087,0.938071,0.418354
0.0088,0.933343,0.421595
0.0089,1.03623,0.425122
0.009,0.855027,0.428382
0.0091,0.921592,0.431263
0.0092,1.12795,0.434981
0.0093,1.28245,0.439805
0.0094,0.824744,0.443649
0.0095,1.16605,0.447105
0.0096,0.951849,0.450938
0.0097,0.939595,0.454037
0.0098,0.853645,0.456809
0.0099,0.830835,0.459223
0.01,0.726002,0.461222
0.0101,1.13435,0.46416
0.0102,1.39108,0.469161
0.0103,0.705753,0.47279
0.0104,0.780773,0.474484
0.0105,1.46395,0.478542
0.0106,1.02493,0.483339
0.0107,1.16916,0.487183
0.0108,0.955769,0.490786
0.0109,1.19767,0.494456
0.011,1.1708,0.498777
0.0111,0.895701,0.502124
0.0112,0.922361,0.504673
0.0113,1.16652,0.508054
0.0114,1.35585,0.512771
0.0115,1.1203,0.517314
0.0116,1.27417,0.521573
0.0117,1.27665,0.526294
0.0118,1.21506,0.530801
0.0119,0.835207,0.533898
0.012,1.05026,0.536458
0.0121,0.91673,0.539258
0.0122,0.593904,0.540612
0.0123,1.23324,0.542948
0.0124,1.07926,0.546789
0.0125,0.963419,0.549761
0.0126,1.03431,0.552574
0.0127,1.22626,0.556193
0.0128,0.969882,0.559587
0.0129,0.882497,0.561883
0.013,1.177,0.564814
0.0131,1.31557,0.569082
0.0132,1.09678,0.573073
0.0133,1.09372,0.576343
0.0134,1.19637,0.579905
0.0135,0.724201,0.582288
0.0136,0.940875,0.583855
0.0137,1.01436,0.586322
0.0138,1.18184,0.589527
0.0139,1.12487,0.593059
0.014,1.04585,0.596142
0.0141,0.845983,0.598333
0.0142,0.682415,0.599372
0.0143,1.32697,0.601911
0.0144,0.998862,0.605425
0.0145,1.15117,0.608366
0.0146,0.973137,0.611208
0.0147,1.15845,0.614056
0.0148,0.983709,0.616918
0.0149,1.59352,0.621125
0.015,1.03205,0.625458
0.0151,1.08347,0.628165
0.0152,1.21929,0.631442
0.0153,1.14537,0.634893
0.0154,1.13061,0.638044
0.0155,1.12121,0.6411
0.0156,1.11881,0.644099
0.0157,1.06372,0.6469
0.0158,1.08809,0.649587
0.0159,0.925639,0.651825
0.016,0.81274,0.653187
0.0161,0.566862,0.653416
0.0162,1.2861,0.655126
0.0163,0.96335,0.658068
0.0164,1.39393,0.661328
0.0165,0.835029,0.664167
0.0166,1.04773,0.665903
0.0167,0.742644,0.667339
0.0168,0.801588,0.667995
0.0169,1.10998,0.669798
0.017,0.762676,0.671467
0.0171,1.1199,0.673157
0.0172,0.888675,0.675231
0.0173,0.86243,0.676486
