# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0,0,0
0.0001,1,0.99687
0.0002,0.998027,0.988676
0.0003,0.992115,0.976643
0.0004,0.982287,0.960843
0.0005,0.968583,0.941362
0.0006,0.951057,0.918299
0.0007,0.929776,0.891768
0.0008,0.904827,0.861894
0.0009,0.876307,0.828817
0.001,0.844328,0.792686
0.0011,0.809017,0.753663
0.0012,0.770513,0.711918
0.0013,0.728969,0.667635
0.0014,0.684547,0.621002
0.0015,0.637424,0.572217
0.0016,0.587785,0.521487
0.0017,0.535827,0.469023
0.0018,0.481754,0.415041
0.0019,0.425779,0.359765
0.002,0.368125,0.30342
0.0021,0.309017,0.246233
0.0022,0.24869,0.188436
0.0023,0.187381,0.130259
0.0024,0.125333,0.0719339
0.0025,0.0627905,0.0136908
0.0026,-4.37114e-08,-0.0442416
0.0027,-0.0627905,-0.101637
0.0028,-0.125333,-0.158274
0.0029,-0.187381,-0.213933
0.003,-0.24869,-0.268403
0.0031,-0.309017,-0.321475
0.0032,-0.368125,-0.372951
0.0033,-0.425779,-0.422637
0.0034,-0.481754,-0.470349
0.0035,-0.535827,-0.515912
0.0036,-0.587785,-0.559161
0.0037,-0.637424,-0.599938
0.0038,-0.684547,-0.638101
0.0039,-0.728969,-0.673514
0.004,-0.770513,-0.706055
0.0041,-0.809017,-0.735615
0.0042,-0.844328,-0.762096
0.0043,-0.876307,-0.785413
0.0044,-0.904827,-0.805495
0.0045,-0.929777,-0.822281
0.0046,-0.951056,-0.835727
0.0047,-0.968583,-0.845802
0.0048,-0.982287,-0.852485
0.0049,-0.992115,-0.855774
0.005,-0.998027,-0.855674
0.0051,-1,-0.852209
0.0052,-0.998027,-0.845413
0.0053,-0.992115,-0.835333
0.0054,-0.982287,-0.82203
0.0055,-0.968583,-0.805577
0.0056,-0.951056,-0.786057
0.0057,-0.929776,-0.763567
0.0058,-0.904827,-0.738213
0.0059,-0.876307,-0.710114
0.006,-0.844328,-0.679397
0.0061,-0.809017,-0.6462
0.0062,-0.770513,-0.610667
0.0063,-0.728969,-0.572955
0.0064,-0.684547,-0.533225
0.0065,-0.637424,-0.491646
0.0066,-0.587785,-0.448393
0.0067,-0.535827,-0.403646
0.0068,-0.481754,-0.357592
0.0069,-0.425779,-0.310418
0.007,-0.368124,-0.262319
0.0071,-0.309017,-0.21349
0.0072,-0.24869,-0.164125
0.0073,-0.187381,-0.114424
0.0074,-0.125333,-0.0645844
0.0075,-0.0627905,-0.0148023
0.0076,1.19249e-08,0.0347265
0.0077,0.0627906,0.0838087
0.0078,0.125333,0.132254
0.0079,0.187381,0.179876
0.008,0.24869,0.226491
0.0081,0.309017,0.271924
0.0082,0.368125,0.316003
0.0083,0.425779,0.358563
0.0084,0.481754,0.399446
0.0085,0.535827,0.438501
0.0086,0.587785,0.475586
0.0087,0.637424,0.510569
0.0088,0.684547,0.543324
0.0089,0.728969,0.573736
0.009,0.770513,0.601701
0.0091,0.809017,0.627123
0.0092,0.844328,0.649919
0.0093,0.876307,0.670016
0.0094,0.904827,0.687351
0.0095,0.929776,0.701873
0.0096,0.951057,0.713543
0.0097,0.968583,0.722332
0.0098,0.982287,0.728225
0.0099,0.992115,0.731216
0.01,0.998027,0.731312
0.0101,1,0.728529
0.0102,0.998027,0.722898
0.0103,0.992115,0.714459
0.0104,0.982287,0.703261
0.0105,0.968583,0.689366
0.0106,0.951057,0.672847
0.0107,0.929777,0.653784
0.0108,0.904827,0.632268
0.0109,0.876307,0.608399
0.011,0.844328,0.582286
0.0111,0.809017,0.554045
0.0112,0.770513,0.523802
0.0113,0.728969,0.491687
0.0114,0.684547,0.457839
0.0115,0.637424,0.422402
0.0116,0.587785,0.385524
0.0117,0.535827,0.347361
0.0118,0.481754,0.30807
0.0119,0.425779,0.267813
0.012,0.368125,0.226754
0.0121,0.309017,0.18506
